,fsq_id,categories,distance,location,name,municipio
168,ef4b63f15a964e00f2af9905,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",935,"{'address': 'Avenida de Gran Via, 88', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Avenida de Gran Via, 88, 28013 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28013', 'region': 'Madrid'}",Com 4,madrid
169,76f57d12880f41320942e209,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",982,"{'address': 'Calle Piamonte, 10', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Piamonte, 10, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",14 Pies Audiovisual,madrid
170,e5e8fd6c7ca6470e897fc61d,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",994,"{'address': 'Calle Don Pedro, 7', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Don Pedro, 7, 28005 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28005', 'region': 'Madrid'}",Struendo Film Maker's,madrid
171,6d1df448730c49d81fcfef7e,"[{'id': 10043, 'name': 'Theater', 'short_name': 'Theater', 'plural_name': 'Theaters', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_', 'suffix': '.png'}}, {'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}, {'id': 11031, 'name': 'Distribution Center', 'short_name': 'Distributor', 'plural_name': 'Distribution Centers', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}, {'id': 11141, 'name': 'Plastics Supplier', 'short_name': 'Plastics Supplier', 'plural_name': 'Plastics Suppliers', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1027,"{'address': 'Cta. San Vicente, 4', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Cta. San Vicente, 4, 28008 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28008', 'region': 'Comunidad de Madrid'}",Alta Films,madrid
172,793e5f5678c2473aa8ef10e8,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1039,"{'address': 'Calle Santa Isabel, 48', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Santa Isabel, 48, 28012 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28012', 'region': 'Madrid'}",Reposado Producciones Cinematograficas,madrid
173,c97debda542e473924b4a7cf,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1039,"{'address': 'Gran Vía, s/n', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Gran Vía, s/n, 28013 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28013', 'region': 'Madrid'}",Videokine,madrid
174,9040e3d7e23149b5121c81fc,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1081,"{'address': 'Alcalá, 57', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Alcalá, 57, 28014 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28014', 'region': 'Madrid'}",Koncept Company,madrid
175,cb30e5154253477141d9d8f0,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1104,"{'address': 'Toledo, 94', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Toledo, 94, 28005 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28005', 'region': 'Madrid'}",Marduk Films,madrid
176,c9eb2abbcf764137430af906,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1149,"{'address': 'Dr. Fourquet, 27', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Dr. Fourquet, 27, 28012 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28012', 'region': 'Comunidad de Madrid'}",Creaciones la Moderna,madrid
177,f8aae8e370c0430482ee7b2c,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1172,"{'address': 'Larra, 1', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Larra, 1, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",Animal Maker,madrid
178,1be4c1ad52094e623825d3dc,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1173,"{'address': 'Princesa, 3 Bis', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Princesa, 3 Bis, 28008 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28008', 'region': 'Comunidad de Madrid'}",La Caña Brothers,madrid
179,f62a0b6bfb7146076b80fed6,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}, {'id': 12009, 'name': 'Education', 'short_name': 'Education', 'plural_name': 'Education', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}}]",1188,"{'address': 'Calle Barbara de Braganza, 12', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Barbara de Braganza, 12, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",Nickel Odeon Dos,madrid
180,f279e544a31e4bf72ee4b7ea,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1212,"{'address': 'Calle Alcala, 58', 'address_extended': '1° - Dcha', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Alcala, 58, Madrid Madrid', 'locality': 'Madrid', 'region': 'Madrid'}",Cambalache de Teatro Aie,madrid
181,5fa77945337443a366aa46c9,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1216,"{'address': 'Calle Princesa, 3', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Princesa, 3, 28008 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28008', 'region': 'Comunidad de Madrid'}",Ion Visual,madrid
182,437a3a5c61354bc1466f0d97,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}, {'id': 17023, 'name': 'Computers and Electronics Retail', 'short_name': 'Computer and Electronics Retail', 'plural_name': 'Computers and Electronics Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}}]",1288,"{'address': 'P.º Rey, 4', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'P.º Rey, 4, 28008 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28008', 'region': 'Madrid'}",Conflikto Films,madrid
183,006986d708604f4e5639f9a3,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1295,"{'address': 'Calle Monteleon, 18', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Monteleon, 18, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",Vendaval Producciones,madrid
184,2745b8e64f1446ec1261b6b9,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1400,"{'address': 'Génova, 7', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Génova, 7, 28004 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Comunidad de Madrid'}",Soul,madrid
185,59413ca7a490432c2f2db341,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1437,"{'address': 'Eguilaz, 9', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Eguilaz, 9, 28010 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28010', 'region': 'Madrid'}",Stoamedia,madrid
186,88a69152790a4709fc18661c,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1455,"{'address': 'Calle Moreno Nieto, 10', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Moreno Nieto, 10, 28005 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28005', 'region': 'Madrid'}",Flycasemedia,madrid
187,75d942c4742a4886e67c02c2,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1501,"{'address': 'Evaristo San Miguel, 22', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Evaristo San Miguel, 22, 28008 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28008', 'region': 'Madrid'}",Arabel Media,madrid
188,5010475be4b05969b7059918,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1521,"{'address': 'Ronda de Toledo, 16', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Ronda de Toledo, 16, 28005 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28005', 'region': 'Comunidad de Madrid'}",Fazeta,madrid
189,1c938048896b40295ed7ab25,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1574,"{'address': 'Calle Vallehermoso, 3', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Vallehermoso, 3, 28015 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28015', 'region': 'Madrid'}",I-Real Animation Studios,madrid
190,1e8ae5dd2b49458c091a305b,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1607,"{'address': 'Calle Murcia, 20', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Murcia, 20, 28045 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28045', 'region': 'Madrid'}",Producciones Ruidher,madrid
191,07b04775caf148b848968fc4,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1686,"{'address': 'Po. Castellana, 8', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Po. Castellana, 8, 28046 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28046', 'region': 'Madrid'}",Da Vinci Creatividad Audiovisual y Diseño Grafico,madrid
192,4d9ec2249b91a1cd36c35cc0,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1694,"{'address': 'Serrano, 38', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Serrano, 38, 28001 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28001', 'region': 'Comunidad de Madrid'}",Turner Broadcasting System España,madrid
193,4e2fc6e4ae60231c03305a38,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1756,"{'address': 'Plaza del Conde del Valle de Suchil, 19', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Plaza del Conde del Valle de Suchil, 19, 28015 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28015', 'region': 'Comunidad de Madrid'}",Blueberry Studios,madrid
194,4e5629c6b61cabc6beb0bf02,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",1779,"{'address': 'Ercilla, 46', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'cross_street': '', 'formatted_address': 'Ercilla, 46, 28005 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28005', 'region': 'Comunidad de Madrid'}",Continental Producciones,madrid
